Index,Type,Username,Password,RentedVehicle
1,user,KowalskiJan,Kowalski123,Fiat 500
2,user,NowakAnna,Nowak1234,Toyota Yaris
3,user,MazurKrzysztof,Mazur12345,Volkswagen Golf
4,user,WojciechowskaKatarzyna,Wojciechowska123,Opel Astra
5,user,KwiatkowskiMarcin,Kwiatkowski123456,Ford Focus
6,admin,LewandowskaAgnieszka,Lewandowska1234567,Renault Clio
7,admin,ZielinskiTomasz,Zielinski12345678,Audi A4
8,admin,GrabowskaIwona,Grabowska123456789,BMW 3
9,user,WieczorekPawel,Wieczorek1234567890,Mercedes C-klasa
10,user,WalczakDorota,Walczak12345678901,Skoda Octavia
